gross,tfloor,efloor,ttarget,etarget,alpha23,alpha24,ret23,ret24,score
1.4,1.1,1.15,1.2000000000000002,1.28,-0.3263427008179036,-0.37027115599927685,1.2272681598961013,0.8124509715538388,-0.6140860058852899
1.4,1.1,1.2,1.2000000000000002,1.28,-0.3263427008179036,-0.37027115599927685,1.2272681598961013,0.8124509715538388,-0.6140860058852899
1.4,1.05,1.15,1.1500000000000001,1.28,-0.3477220955638658,-0.380469947379358,1.205888765150139,0.8022521801737577,-0.6353371624094863
1.4,1.05,1.2,1.1500000000000001,1.28,-0.3477220955638658,-0.380469947379358,1.205888765150139,0.8022521801737577,-0.6353371624094863
1.35,1.1,1.15,1.2000000000000002,1.28,-0.3476598499076977,-0.3920530404331757,1.2059510108063072,0.79066908711994,-0.6509525520524814
1.35,1.1,1.2,1.2000000000000002,1.28,-0.3476598499076977,-0.3920530404331757,1.2059510108063072,0.79066908711994,-0.6509525520524814
1.3,1.1,1.15,1.2000000000000002,1.28,-0.35327600949718807,-0.4020570694428256,1.2003348512168168,0.7806650581102901,-0.6664236470718303
1.3,1.1,1.2,1.2000000000000002,1.28,-0.35327600949718807,-0.4020570694428256,1.2003348512168168,0.7806650581102901,-0.6664236470718303
1.35,1.05,1.15,1.1500000000000001,1.28,-0.36800115409846734,-0.40212926359007506,1.1856097066155376,0.7805928639630406,-0.6716749097810648
1.35,1.05,1.2,1.1500000000000001,1.28,-0.36800115409846734,-0.40212926359007506,1.1856097066155376,0.7805928639630406,-0.6716749097810648
1.3,1.05,1.15,1.1500000000000001,1.28,-0.3852287016697278,-0.4130027911710641,1.1683821590442771,0.7697193363820516,-0.6923838136653413
1.3,1.05,1.2,1.1500000000000001,1.28,-0.3852287016697278,-0.4130027911710641,1.1683821590442771,0.7697193363820516,-0.6923838136653413
